SWOF
0.1	0	1	0
0.15	0.003	0.875	0
0.2	0.012	0.757	0
0.25	0.028	0.647	0
0.3	0.049	0.545	0
0.35	0.077	0.451	0
0.4	0.11	0.365	0
0.45	0.15	0.287	0
0.5	0.196	0.217	0
0.55	0.248	0.156	0
0.6	0.306	0.104	0
0.65	0.37	0.062	0
0.7	0.441	0.03	0
0.75	0.517	0.008	0
0.8	0.6	0	0
1	1	0	0
/

SGOF
-- SWOF for garn3. numerical layer #1
-- Swi=0.18. Sgc=0.1. and Sorg=0.1
--Sg		krg	krog	pcog
0.0000		0.0000	0.9000	0
0.1000		0.0000	0.4500	0
0.1310		0.0101	0.3858	0
0.1620		0.0285	0.3281	0
0.1930		0.0523	0.2764	0
0.2240		0.0805	0.2304	0
0.2550		0.1125	0.1898	0
0.2860		0.1479	0.1544	0
0.3170		0.1864	0.1236	0
0.3480		0.2277	0.0972	0
0.3790		0.2717	0.0749	0
0.4100		0.3182	0.0562	0
0.4410		0.3671	0.0410	0
0.4720		0.4183	0.0288	0
0.5030		0.4716	0.0193	0
0.5340		0.5271	0.0122	0
0.5650		0.5846	0.0070	0
0.5960		0.6440	0.0036	0
0.6270		0.7053	0.0015	0
0.6580		0.7684	0.0004	0
0.6890		0.8334	0.0001	0
0.7200		0.9000	0.0000	0
/
